result,table,_start,_stop,_time,ApicController_IP,_measurement,total_PIn,total_POut
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-31 00:00:00+00:00,172.8.16.69,DevicePSU,276909.0,244535.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-02-01 00:00:00+00:00,172.8.144.71,DevicePSU,106573.0,104830.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-01 00:00:00+00:00,172.8.144.71,DevicePSU,118813.0,108280.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-31 00:00:00+00:00,172.8.144.71,DevicePSU,277046.0,244733.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-02-01 00:00:00+00:00,172.8.16.66,DevicePSU,98953.0,96876.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-01 00:00:00+00:00,172.8.16.66,DevicePSU,118259.0,107925.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-31 00:00:00+00:00,172.8.16.66,DevicePSU,276812.0,244827.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-02-01 00:00:00+00:00,172.8.16.70,DevicePSU,97772.0,96686.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-01 00:00:00+00:00,172.8.16.70,DevicePSU,118267.0,108123.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-31 00:00:00+00:00,172.8.16.70,DevicePSU,277427.0,244833.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-02-01 00:00:00+00:00,172.8.144.91,DevicePSU,97244.0,96620.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-01 00:00:00+00:00,172.8.144.91,DevicePSU,117926.0,107941.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-31 00:00:00+00:00,172.8.144.91,DevicePSU,276626.0,244984.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-02-01 00:00:00+00:00,172.8.16.77,DevicePSU,98381.0,96536.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-01 00:00:00+00:00,172.8.16.77,DevicePSU,118529.0,108160.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-31 00:00:00+00:00,172.8.16.77,DevicePSU,276837.0,244955.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-02-01 00:00:00+00:00,172.8.144.79,DevicePSU,97200.0,96508.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-01 00:00:00+00:00,172.8.144.79,DevicePSU,118654.0,108290.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-31 00:00:00+00:00,172.8.144.79,DevicePSU,276868.0,245174.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-02-01 00:00:00+00:00,172.8.0.1,DevicePSU,118390.0,117250.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-01 00:00:00+00:00,172.8.0.1,DevicePSU,56027.0,53084.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-31 00:00:00+00:00,172.8.0.1,DevicePSU,,
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-02-01 00:00:00+00:00,172.8.0.3,DevicePSU,119093.0,117049.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-01 00:00:00+00:00,172.8.0.3,DevicePSU,118707.0,108155.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-31 00:00:00+00:00,172.8.0.3,DevicePSU,277167.0,244641.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-02-01 00:00:00+00:00,10.200.97.72,DevicePSU,118553.0,117134.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-01 00:00:00+00:00,10.200.97.72,DevicePSU,122703.0,112092.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-31 00:00:00+00:00,10.200.97.72,DevicePSU,276869.0,245186.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-02-01 00:00:00+00:00,169.254.2.1,DevicePSU,118349.0,116911.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-01 00:00:00+00:00,169.254.2.1,DevicePSU,123571.0,112356.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-31 00:00:00+00:00,169.254.2.1,DevicePSU,277528.0,244146.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-02-01 00:00:00+00:00,10.200.97.71,DevicePSU,119274.0,116972.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-01 00:00:00+00:00,10.200.97.71,DevicePSU,123664.0,111938.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-31 00:00:00+00:00,10.200.97.71,DevicePSU,276989.0,244666.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-02-01 00:00:00+00:00,169.254.2.2,DevicePSU,118079.0,117312.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-01 00:00:00+00:00,169.254.2.2,DevicePSU,122897.0,112127.0
_result,0,2025-01-01 00:00:00+00:00,2025-03-31 00:00:00+00:00,2025-03-31 00:00:00+00:00,169.254.2.2,DevicePSU,277395.0,244715.0
